|                Model |       Vendor |   Display_Size |    Screen_Resolution |        O/S |           CPU_Type |    CPU_Clock |    Memory_Size | Price($S) |
| ==================== | ============ | ============== | ==================== | ========== | ================== | ============ | ============== | ========= |
|          GalaxyNote3 |      Samsung |            5.7 |            1920x1080 |    Android |      Snapdragon800 |         2300 |          32.00 |       635 | 
|             Iphone5S |        Apple |            4.0 |             1136x640 |        iOS |                 A7 |         1300 |          16.00 |       745 | 
|                  Q10 |   BlackBerry |            3.1 |              720x720 | BlackBerry |   SnapdragonS4Plus |         1500 |          16.00 |       399 | 
|                  Z10 |   BlackBerry |            4.2 |             1280x768 | BlackBerry | SnapdragonS4PluLTE |         1500 |          16.00 |       430 | 
|                  Z30 |   BlackBerry |            5.0 |             1280x768 | BlackBerry | SnapdragonS4PluLTE |         1500 |          16.00 |       556 | 
|             AscendD2 |       Huawei |            5.0 |            1920x1080 |    Android |         Hi-Silicon |         1500 |          32.00 |       604 | 
|                  One |          HTC |            4.7 |            1920x1080 |    Android |           Krait300 |         1700 |          32.00 |       579 | 
|           AscendMate |       Huawei |            6.1 |             1280x720 |    Android |         Hi-Silicon |         1500 |          16.00 |       341 | 
|             Ascendw1 |       Huawei |            4.0 |              800x480 |    Windows |              Krait |         1200 |           4.00 |       230 | 
|                 K900 |       Lenovo |            5.5 |            1920x1080 |    Android |        IntelClover |         1800 |          16.00 |       436 | 
|                   G2 |           LG |            5.2 |            1920x1080 |    Android |      Snapdragon800 |         2300 |          32.00 |       518 | 
|             GalaxyS4 |      Samsung |            4.9 |            1920x1080 |    Android |           Krait300 |         1700 |          16.00 |       735 | 
|         GalaxyS4mini |      Samsung |            4.3 |              960x540 |    Android |           Krati300 |         1700 |           8.00 |       380 | 
|              XperiaL |         SONY |            4.3 |              854x480 |    Android |           Krait300 |         1700 |           8.00 |       250 | 
|             XperiaZ1 |         SONY |            5.0 |            1920x1080 |    Android |           Krait300 |         1700 |          16.00 |       594 | 
|              XperiaZ |         SONY |            5.0 |            1920x1080 |    Android |    SnapdragonS4pro |         1500 |          16.00 |       454 | 
|             XperiaZL |         SONY |            5.0 |            1920x1080 |    Android |           Krait300 |         1700 |          16.00 |       500 | 
|             XperiaSP |         SONY |            4.6 |             1280x720 |    Android |           Krait300 |         1700 |           8.00 |       440 | 
|            YotaPhone |  YotaDevices |            4.3 |             1280x720 |    Android |   SnapdragonS4Plus |         1700 |          32.00 |       287 | 
|               Grands |          ZTE |            5.0 |            1920x1080 |    Android |    SnapdragonS4pro |         1500 |          16.00 |       224 | 
|              Iphone5 |        Apple |            4.0 |             1136x640 |        iOS |                 A6 |         1300 |          16.00 |       495 | 
|                 ONEV |          HTC |            3.7 |              480x800 |    Android |         Snapdragon |         2300 |           4.00 |       104 | 
|                 ONES |          HTC |            4.3 |              540x960 |    Android |       SnapdragonS4 |         1400 |          16.00 |       449 | 
|                 ONEX |          HTC |            4.7 |             1280x720 |    Android |           CortexA9 |         2500 |          32.00 |       316 | 
|                ONEX+ |          HTC |            4.7 |             1280x720 |    Android |           CortexA9 |         2500 |          64.00 |       446 | 
|               Nexus4 |           LG |            4.7 |             1280x768 |    Android |    SnapdragonS4pro |         1500 |           8.00 |       333 | 
|             Lumia900 |        Nokia |            4.3 |              480x800 |    Windows |       SnapdragonS2 |         1400 |          16.00 |       500 | 
|             Lumia920 |        Nokia |            4.5 |             1280x768 |    Windows |       SnapdragonS4 |         1400 |          32.00 |       310 | 
|           Exhibit24G |      Samsung |            3.7 |              480x800 |    Android |           Qualcomm |         1000 |          16.00 |       216 | 
